state,x,y
Jammu And Kashmir,-123,234
Himachal Pradesh,-92,195
Punjab,-113,176
Uttarakhand,-64,166
Haryana,-105,144
Uttar Pradesh,-37,102
Rajasthan,-154,98
Madhya Pradesh,-71,31
Gujarat,-193,26
Bihar,50,78
Jharkhand,42,38
Chattisgarh,-11,-7
Odisha,34,-17
West Bengal,95,37
Sikkim,101,110
Arunachal Pradesh,191,139
Assam,160,98
Nagaland,205,98
Manipur,195,68
Mizoram,179,39
Meghalaya,152,79
Maharastra,-132,-36
Telangana,-59,-71
Karnataka,-124,-130
Andhra Pradesh,-62,-126
Kerala,-110,-210
Tamil Nadu,-67,-202
Goa,-152,-117
